id_del_proceso,entidad,objeto,valor_base,ciudad,estado,coincidio_por,url,fecha_deteccion
"CO1.REQ.10833203","UNIVERSIDAD DE ANTIOQUIA","Prestar servicios profesionales especializados como Ingeniera de Materiales para la ejecución y entrega de un 1 lote de ensayos de caracterización de materiales metalográficos  espectrometrías de emisión óptica  fluorescencia de rayos X y determinación de propiedades mecánicas  así como el soporte técnico por demanda para las prácticas de laboratorio requeridas en el Laboratorio de Espectrometría y Fundición de la Facultad de Ingeniería.","28000000","Medellín","Publicado","palabra clave: ""fluorescencia de rayos X""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10687177","2026-08-14T02:08:35.609Z"
"CO1.REQ.10836707","UNIVERSIDAD DE CALDAS.","PRESTAR LOS SERVICIOS PROFESIONALES COMO INGENIERO DE METALES PARA EL LABORATORIO DE MICROSCOPÍA ELECTRÓNICA DE BARRIDO DEL INSTITUTO DE INVESTIGACIONES EN ESTRATIGRAFÍA-IIES.","38992100","Manizales","Publicado","palabra clave: ""microscopía electrónica de barrido""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10690484","2026-08-14T02:08:35.609Z"
"CO1.REQ.10834665","SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1","REALIZACIÓN DEL ESTUDIO DE VULNERABILIDAD SÍSMICA Y EVALUACIÓN ESTRUCTURAL DEL EDIFICIO SANTA MARTA DEL HOSPITAL SANTA CLARA  ADSCRITO A LA SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E.  INCLUYENDO LA INSPECCIÓN TÉCNICA  MODELACIÓN Y ANÁLISIS SÍSMICO DE LA ESTRUCTURA EXISTENTE  DIAGNÓSTICO DEL NIVEL DE VULNERABILIDAD Y FORMULACIÓN DE RECOMENDACIONES Y/O ALTERNATIVAS DE REFORZAMIENTO ESTRUCTURAL  DE CONFORMIDAD CON LA NSR-10 Y DEMÁS NORMATIVA VIGENTE APLICABLE.","39270000","No Definido","Publicado","palabra clave: ""sísmica""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10693095","2026-08-14T02:08:35.609Z"
"CO1.REQ.10836261","Universidad Surcolombiana","Prestar sus servicios profesionales para la asistencia y manejo de los laboratorios de estructuras y geotecnia de la Facultad de Ingenieria de la Universidad Surcolombiana","3000000","Neiva","Publicado","palabra clave: ""geotecnia""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10690172","2026-08-14T02:08:35.609Z"
"CO1.REQ.10825725","UNIVERSIDAD INDUSTRIAL DE SANTANDER","Prestar servicios profesionales para realizar el modelado de propiedades en Petrel para los prospectos de almacenamiento de CO2 en el marco del proyecto de CCS con objeto:  Realizar la caracterización y análisis integral para desarrollar almacenamientos subterráneos de CO2 en estructuras geológicas asociadas a acuíferos salinos y yacimientos depletados O&G en áreas libres   empleando la excelencia técnica e imparcialidad en la aplicación de los métodos  bajo el marco del sistema de calidad ISO/I","26000000","Bucaramanga","Publicado","palabra clave: ""caracterización geológica""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10679599","2026-08-14T02:08:35.609Z"
"CO1.REQ.10825394","UNIVERSIDAD INDUSTRIAL DE SANTANDER","Prestar servicios profesionales SIG relacionados con análisis espacial y SIG  en el marco de la ejecución del contrato No. 654 ANH-UIS con objeto ¿Realizar la caracterización y análisis integral para desarrollar almacenamientos subterráneos de CO2 en estructuras geológicas asociadas a acuíferos salinos y yacimientos depletados O&G en áreas libres   empleando la excelencia técnica e imparcialidad en la aplicación de los métodos  bajo el marco del sistema de calidad ISO/IEC 17025.","26000000","Bucaramanga","Publicado","palabra clave: ""caracterización geológica""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10679716","2026-08-14T02:08:35.609Z"
"CO1.REQ.10826014","UNIVERSIDAD INDUSTRIAL DE SANTANDER","Prestar servicios profesionales para la descripción geológica de los núcleos de roca de los pozos objeto de estudio  mediante la identificación e interpretación de sus características litológicas  sedimentológicas y estructurales  contribuyendo a la caracterización geológica y al cumplimiento de los productos técnicos  en el marco del contrato 456 de 2026 ANH-UIS con objeto ¿realizar el análisis integral de corazones de pozos perforados por la ANH para avanzar en la evaluación del potencial de f","20680000","Bucaramanga","Publicado","palabra clave: ""caracterización geológica""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10679941","2026-08-14T02:08:35.609Z"
"CO1.REQ.10839882","UNIVERSIDAD NACIONAL DE COLOMBIA","Prestar servicio de diagnostico para el analizador elemental del laboratorio de Aguas y suelos de la Facultad de Ciencias Agrarias de la Universidad Nacional de Colombia - Sede Bogotá","4284000","No Definido","Publicado","palabra clave: ""laboratorio de suelos""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10694805","2026-08-14T02:08:35.609Z"
"CO1.REQ.10798812","UNIQUINDIO","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN EL LABORATORIO DE SUELOS Y PAVIMENTOS DE LA FACULTAD DE INGENIERÍA.","9116157","Armenia","Publicado","palabra clave: ""laboratorio de suelos""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10695420","2026-08-14T02:08:35.609Z"
"CO1.REQ.10830757","UNIVERSIDAD NACIONAL DE COLOMBIA","ADQUIRIR EQUIPOS Y ELEMENTOS PARA LOS LABORATORIOS DE SUELOS  CONTROL Y AUTOMATIZACION EN AGRICULTURA Y RIEGO A PRESION DEL DEPARTAMENTO DE INGENIERIA CIVIL Y AGRICOLA  FACULTAD DE INGENIERIA  UNIVERSIDAD NACIONAL DE COLOMBIA  SEDE BOGOTA","75989830","No Definido","Publicado","palabra clave: ""laboratorio de suelos""","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10685051","2026-08-14T02:08:35.610Z"
